mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-353.8945,110.13714,22.485777,12.943505,-2.7674077,-16.105215,-15.346338,-7.141162,4.356388,2.74958,-11.778132,-6.3007503,6.8681006,0.63713205,-5.4761596,-3.6727111,-3.2474854,-8.412546,-10.7460375,-0.07819003,-4.149005,-6.288574,-2.0800335,-2.8202605,-0.6047646,-4.337592,-0.19981745,0.708649,-1.9159127,-1.8637373,-3.1478636,-4.7117314,-0.7765457,-2.7479625,-0.19204327,-3.5708287,-4.324473,0.032556623,-3.5782816,-4.738324,buka
-357.25,130.46901,0.6740826,0.786324,-4.007336,-13.4549,-15.142923,-4.5395684,11.625637,-4.350885,-8.141442,2.042893,-2.6778266,-5.772347,-7.646005,-5.0180826,-4.304012,-6.5044003,-2.757497,-5.399881,-7.0418434,-3.4814432,-2.329909,-2.774773,-4.70549,-2.0059698,-2.057028,-5.562393,-2.7825434,-1.8403347,-1.1805094,0.54074365,-1.414756,-2.3079436,-2.648866,-2.1567123,-2.0469096,-4.038835,-3.2632446,-2.0933697,buka
-353.40097,133.77214,2.2903857,12.5728445,-9.472692,-20.455582,-16.811853,-5.574747,12.576075,-8.611343,-10.500733,2.6481366,0.17424963,-2.335214,-9.74906,-3.471542,-7.1004715,-14.15072,1.3194437,-3.581511,-10.299564,-1.520323,-1.6421101,-1.447845,-2.8482463,-2.163469,-0.98304796,-6.153559,-3.8940403,-2.4766946,-4.004779,-1.3303905,-1.3288126,-2.7200832,-3.637136,-2.3163743,-2.6842988,-6.157696,-3.4848585,-2.7601266,buka
-193.38031,46.12273,22.087955,9.609308,-1.0720377,-9.810766,-8.870459,-2.5084498,2.221746,-0.93152875,-4.936482,-1.8767073,2.1342041,1.1776785,-2.0342624,-2.1409047,-3.3604453,-8.099722,-6.861277,-2.1237915,-2.1127672,-2.4166985,-1.6424037,-1.4584268,-0.6122347,-0.40427604,-0.28083003,1.3358196,-0.37674975,-2.7948747,-2.4591699,-2.2836397,-1.5581719,-0.5150591,-0.54945153,-2.2793062,-2.635931,-1.939036,-2.8338797,-3.2197256,buka
-218.9567,39.077824,14.391515,4.0453734,-0.2937246,-3.2532997,-3.7034109,-0.2024374,4.908715,2.116869,-2.1001542,0.30781168,1.8833109,-1.6964926,-4.5877905,-4.596496,-3.2828774,-2.8910139,-3.3922389,-3.3146513,-1.9937532,-1.9230633,-2.1413286,-1.389659,-1.6438462,-2.1488464,-2.8663843,-3.7583103,-3.1807475,-2.0230734,-1.772897,-0.8574424,-1.0334152,-2.1866312,-2.0937061,-2.4272177,-3.187887,-3.5146885,-3.7324362,-3.4282784,buka
-391.26538,126.670166,-11.9633,4.7023406,-13.594385,-15.460275,-8.753679,-3.6207016,12.817947,-8.705004,-9.727809,3.9721143,-1.861472,-3.3755395,-5.9179287,-1.0637726,-4.267329,-8.005361,-0.16519232,-7.3957505,-6.8436246,-0.06153411,-2.6034515,-2.760982,-5.133244,-1.9649385,-1.477011,-5.3996434,-1.9055679,-2.8846722,-2.531384,-0.581918,-1.9607594,-1.4011887,-3.0009108,-2.9092271,-3.9848979,-5.469146,-2.4584272,-2.8501284,buka
-389.9689,132.28568,1.3201097,9.51277,-16.371792,-20.989767,-7.5702157,-6.5276732,6.3173523,-7.9678583,-7.017021,7.952382,-3.4454846,-6.317942,-5.6957717,-8.686103,-10.613038,-9.247194,1.238819,-2.9110315,-7.043035,0.07710913,-2.22117,-2.1945474,-1.9068902,-4.6070547,-3.110704,-5.941097,-5.2230444,-1.5697086,-2.4774666,-1.3665257,-2.758157,-5.3325725,-4.0744195,-4.434174,-5.268621,-4.5951753,-4.373943,-4.526839,buka
-409.77203,131.34793,5.60678,14.959884,5.0409856,-12.718263,-12.102019,-17.17067,3.573587,11.606469,-5.2611213,-6.410187,0.5914309,6.439225,0.17389816,-8.104848,-3.3142548,-6.3042326,-5.1385117,-0.8551361,-9.646253,-4.549391,0.42107823,-8.059192,-4.2555294,-3.0148897,-5.7189665,-0.17081437,-2.059914,-2.754075,0.45953718,-3.96184,-4.5764847,-1.3795434,-1.3598859,-1.5438987,-1.959511,-1.1315982,-0.38541958,-1.4395664,buka
-431.65573,98.50364,-13.650925,4.4913025,-15.813525,-9.158793,-5.7554193,5.5852356,5.5136533,-14.878744,-1.3940796,0.5976864,-7.8147025,-11.034222,-4.1039567,-2.5003836,-7.1944165,0.8497732,-6.010058,-4.6619163,0.8290894,-6.073119,-2.8490052,-1.8356934,-1.9778786,-1.4880702,-2.333437,-0.7793905,-1.5905231,-4.0950584,-4.2999067,-3.0048308,-4.368032,-3.5669081,-4.2646623,-3.5825849,-1.7277274,-5.012271,-2.999812,-2.005301,buka
-221.74832,31.022572,9.788043,1.4058211,-3.6342583,-6.9094267,-6.065361,-0.43646798,3.2220511,-0.75342435,-2.9821694,0.49058172,1.4423263,0.29887745,-0.9067811,-2.5896683,-3.4049518,-2.6310675,-1.5464495,-2.652388,-2.7254066,-1.9461222,-1.5569339,-1.727028,-2.1501722,-1.2451639,-1.060651,-2.3798904,-1.7193109,-1.1847334,-1.2844114,-0.46771166,0.043717507,-1.3114095,-1.4253961,-1.5983053,-1.9095211,-2.3801582,-2.17646,-0.903146,buka
